wwtp,samp_date,parameter,effluent,influent,difference,formation
Terminal Island Water Reclamation Plant,2021-02-02,PFHxS,36.2,27.8,8.400000000000002,TRUE
Terminal Island Water Reclamation Plant,2021-02-02,PFOA,13.6,7.51,6.09,TRUE
Terminal Island Water Reclamation Plant,2021-02-02,PFPA,29.8,13.3,16.5,TRUE
Terminal Island Water Reclamation Plant,2021-04-04,6:2FTS,4.76,0,4.76,TRUE
Terminal Island Water Reclamation Plant,2021-04-04,FOSA,4.75,0,4.75,TRUE
Terminal Island Water Reclamation Plant,2021-04-04,PFHpA,7.52,0,7.52,TRUE
Terminal Island Water Reclamation Plant,2021-04-04,PFHxA,35.9,7.67,28.229999999999997,TRUE
Terminal Island Water Reclamation Plant,2021-04-04,PFHxS,27.1,9.38,17.72,TRUE
Terminal Island Water Reclamation Plant,2021-04-04,PFOA,15.2,0,15.2,TRUE
Terminal Island Water Reclamation Plant,2021-04-04,PFOS,54.7,27.5,27.200000000000003,TRUE
Terminal Island Water Reclamation Plant,2021-04-04,PFPA,27.2,5.91,21.29,TRUE
Terminal Island Water Reclamation Plant,2021-04-04,PFPES,5.13,0,5.13,TRUE
Terminal Island Water Reclamation Plant,2021-07-07,6:2FTS,190,38.2,151.8,TRUE
Terminal Island Water Reclamation Plant,2021-07-07,8:2FTS,120,14,106,TRUE
Terminal Island Water Reclamation Plant,2021-07-07,FOSA,23.7,0,23.7,TRUE
Terminal Island Water Reclamation Plant,2021-07-07,PFBA,18.9,5.07,13.829999999999998,TRUE
Terminal Island Water Reclamation Plant,2021-07-07,PFBS,31.4,18.3,13.099999999999998,TRUE
Terminal Island Water Reclamation Plant,2021-07-07,PFHpA,19.4,6.01,13.389999999999999,TRUE
Terminal Island Water Reclamation Plant,2021-07-07,PFHpS,28.3,0,28.3,TRUE
Terminal Island Water Reclamation Plant,2021-07-07,PFHxA,58.5,18.6,39.9,TRUE
Terminal Island Water Reclamation Plant,2021-07-07,PFHxS,152,53.9,98.1,TRUE
Terminal Island Water Reclamation Plant,2021-07-07,PFNA,27.9,6.21,21.689999999999998,TRUE
Terminal Island Water Reclamation Plant,2021-07-07,PFOA,32.8,11.2,21.599999999999998,TRUE
Terminal Island Water Reclamation Plant,2021-07-07,PFOS,2420,418,2002,TRUE
Terminal Island Water Reclamation Plant,2021-07-07,PFPA,30.4,0,30.4,TRUE
Terminal Island Water Reclamation Plant,2021-07-07,PFUnA,9.38,0,9.38,TRUE
Valencia WRP,2020-11-18,PFBS,3.14,0,3.14,TRUE
Valencia WRP,2020-11-18,PFHxA,29.3,7.51,21.79,TRUE
